Business Segment,Department,Unit,Abbreviated Name,Source,Notes
Minamas Head Office,Plantation Operation,Estate Report,MHO_POP_ER,Client,
Minamas Head Office,Plantation Operation,Management Report,MHO_POP_MR,Client,
Minamas Head Office,Plantation Operation,Mill Report,MHO_POP_MILLR,Client,
Minamas Head Office,Plantation Operation,Task Force Operation,MHO_POP_TFO,Client,
Minamas Head Office,Production & Engineering,Engineering,MHO_PNE_ENGINEERING,Client,
Minamas Head Office,Production & Engineering,Production & Operation,MHO_PROD_OPS,Client,Missing PNE segment in code - confirm
Minamas Head Office,Risk Management,Risk Management,MHO_GRM,Client,Client left Unit blank - unit mirrors department so a leaf folder exists
Minamas Head Office,Supply Chain,Procurement,MHO_SC_PROC,Client,
Minamas Head Office,Supply Chain,Logistics,MHO_SC_LOGS,Client,
Minamas Head Office,Sustainability,"Health, Safety, and Environment",MHO_SUS_HSE,Client,
Minamas Head Office,Sustainability,Sustainability Compliance & Quality Management,MHO_SC_QM,Client,SC prefix collides with Supply Chain - confirm
Minamas Head Office,Sustainability,"Environment, Social & Governance",MHO_SC_ESG,Client,SC prefix collides with Supply Chain - confirm
Minamas Head Office,Sustainability,Health & Medical Services,MHO_SC_HMS,Client,SC prefix collides with Supply Chain - confirm
Minamas Head Office,Taxation,Taxation,MHO_TAX,Client,
Minamas Head Office,Treasury,Funding Operations,MHO_TREAS_FO,Client,
Minamas Head Office,Treasury,Insurance Management,MHO_TREAS_INSURM,Client,
Minamas Head Office,Treasury,Payment,MHO_TREAS_PAYMENT,Client,
Minamas Head Office,Treasury,Account Payable,MHO_TREAS_AC,Client,
Minamas Head Office,Upstream Productivity,Upstream Productivity,MHO_UPPROD,Client,
Minamas Head Office,Value Creation / Value Transformation,Value Creation / Value Transformation,MHO_VCVT,Client,
NBPOL Head Office,Sustainability,Certification,NBPOLHO_SUS_CERT,Client,
NBPOL Head Office,Sustainability,"Environment, Safety & Health",NBPOLHO_SUS_ESH,Client,Client sheet spelled Heath - corrected to Health
NBPOL Head Office,Land Department,Land Management,NBPOLHO_LAND_LM,Client,Case normalised from NBPOLHO_Land_LM
NBPOL Head Office,Land Department,Surveying,NBPOLHO_LAND_SURVEYING,Client,Case normalised from NBPOLHO_Land_SURVEYING
