"Title","TermGuid","Abbreviation","Level"
"Licensing ＆ Operation Security","d34a7733-94a7-4b08-a3df-395f4bbb335e","LOS","Unit"
"Holding ＆ Consolidation","52353e87-cf74-485f-a1ab-ac9b2ff5deac","HCONSOL","Unit"
"Data Intelligence ＆ Investigations","4ca8db1e-ec6e-4ddb-9844-359f3a814901","DIINVESTN","Unit"
"Estate ＆ Other Operations","2a0c063f-93d6-4cf4-844a-884d839cdc3e","EOOPS","Unit"
"Project ＆ Mill Operations","aadce05c-6fe3-4b80-9339-19f3d9746741","PMOPS","Unit"
"Group Integrity ＆ Governance","55bd9d4c-64d3-42fb-b20c-cb3d73940273","GIG","Department"
"Group Integrity ＆ Governance","701bec52-a377-4949-9ffe-2c7e76b26344","GIG","Unit"
"Business Application ＆ Development","7c570c95-c8e7-42cf-ac46-14f1280ae025","BADEV","Unit"
"Infrastructure ＆ IT Security","cac96996-a410-4054-8e52-4b0b4898d0d7","INFRA_ITS","Unit"
"SAP Strategic Project ＆ Data","4ddf7aec-68c1-49a8-999b-e99f806c21d4","SAPSTRATPD","Unit"
"Legal ＆ Corporate Secretary","89cb9b68-9295-4a42-af92-a4d8d2fbbce8","LCS","Department"
"Corporate Secretary","ccdeea0a-dc51-4a42-a913-76a52295c49b","COSEC","Unit"
"Legal","5ea19f24-f185-4a3d-9967-137e537c0691","LEGAL","Unit"
"Performance Monitoring Unit ＆ Mechanisation","4b9d9467-b8d5-4da3-880c-8122bf3e4ef9","PMUM","Department"
"Mechanisation","60d1262e-a21c-43f9-b0f7-c0d3a8325465","MEC","Unit"
"Performance Monitoring Unit","cc16c2fd-8d79-43bb-83be-513641167415","PMU","Unit"
"Production ＆ Engineering","10d248e9-8d7f-4c71-b448-6e1ac86892ed","PNE","Department"
"Engineering","dbf99036-0b16-48d4-abef-7e407885a6d2","ENGINEERING","Unit"
"Production ＆ Operation","4be0a7ed-5546-4230-82e1-f66a274edb8b","OPS","Unit"
"Environment, Social ＆ Governance","7cbdbf4f-a4fe-4018-86d1-bc63bc625ad5","ESG","Unit"
"Health ＆ Medical Services","9063210a-e5bd-4c1b-beb6-f93ed267cd78","HMS","Unit"
"Sustainability Compliance ＆ Quality Management","cf9e6b80-0d9b-4ecd-9d8e-69511e629bbf","QM","Unit"
"Corporate Development ＆ Services","5cb0ea7f-1a3a-4a0f-a417-3d924a1c0a3b","CDS","Department"
"Upstream Support","a9f4408f-f172-4332-bf1d-05d23493a01e","UPSUPPORT","Unit"
"Engineering ＆ Mill Services","ea8b5ed6-4ff8-4826-bcbe-802b3f3dcc0e","EMS","Department"
"Engineering Services","2d823e3e-a4be-4a90-9e87-a160495fd95a","ES","Unit"
"Tax","992c9bf8-6fc8-4d97-876f-311fcc515d88","TAX","Unit"
"Group Corporate Assurance","b5292bd5-8792-4254-ba3f-85f6a787ee8d","GCA","Department"
"Group Corporate Assurance","8176c481-2cae-4145-95a7-22711a649fce","GCA","Unit"
"Human Resources","e3691d38-eba3-4cd7-a7d0-01f6d3ea039f","HR","Department"
"HR Operations","37b3cebe-be2a-41a9-955f-5acdc991e9d5","OPS","Unit"
"HR Strategy ＆ Talent","19ddbf42-b553-4753-b051-a032954bfea0","STRATTALENT","Unit"
"HRMIS","be8a67e2-5617-4e97-9474-3033c54d1a72","HRMIS","Unit"
"Management Academy","71e5f7aa-0a5b-4f87-9af4-7564ed3a7fee","MGMTACAD","Unit"
"Travel","b83c3298-889d-4b7d-86c4-4b894a99fac2","TRAVEL","Unit"
"Information Technology","3efdb5cc-0245-4ecc-9928-0ebcd2f5b3fb","IT","Department"
"NBPOL IT Application Development","541617b5-6e98-48bf-8bd3-1b3ec9c0ff4b","APPDEV","Unit"
"NBPOL IT SAP Support","931ebfcb-c973-49cc-84e9-688e85f77e8c","SAP","Unit"
"Land Department","f5b8041f-9f8d-4f7c-8e61-4747ec547c07","LAND","Department"
"Land Management","cb3df23a-1ef3-488f-8ebf-f724932c15f1","LM","Unit"
"Surveying","7f9fb263-9479-46c5-a8d1-37ee27ceb651","SURVEYING","Unit"
"Legal","41098e9d-1cd2-4891-9176-a5681facbbfe","LEGAL","Department"
"Legal","f4f4a6b9-05a1-4b54-9c6c-24624b409f6a","LEGAL","Unit"
"NBPOL Procurement","8ac66d98-e50f-4670-9344-942e9faf29ce","PROC","Department"
"Corporate Office","030719ca-ca2a-4013-bb3b-614e227ff170","CO","Unit"
"Performance Management Unit","721690da-974c-4951-8db2-cef7257410d3","PMU","Department"
"Standard Crop Recovery Assessment","5b11d217-1595-4a17-9f1d-ab5186f816e8","SCRA","Unit"
"Sustainability","2cc3c025-5c8d-49af-8b86-fd5da046a330","SUS","Department"
"Certification","ef809668-3eae-49f0-97d1-6eebd35aaadd","CERT","Unit"
"Environment, Safety ＆ Health","5f51eb22-943d-41f9-a65a-b1bebf8a73f4","ESH","Unit"
"Transformation","e2366d31-7e18-4722-85c0-5397b8d1aa42","TRANSFORM","Department"
"Transformation","2f4efd21-cf1c-4503-90ef-df1c7a91b5ed","TRANSFORM","Unit"
