Group,People,Members,Segment,Roles,Mappings
GHO_GHR_LND_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_NHRIS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_OCWS_ANS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_OCWS_IFM_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_OCWS_OCT_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_PAYROLL_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_PERFORMANCE_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_REWARDS_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_TA_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_THECREST_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
GHO_GHR_TM_APR_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
